<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20200828,000000,2340.0000000,2359.0000000,2262.8000000,2299.0000000,599807
20200831,000000,2314.2000000,2364.8000000,2304.8000000,2350.0000000,365700
20200901,000000,2364.8000000,2415.8000000,2341.0000000,2390.0000000,526733
20200902,000000,2403.4000000,2418.0000000,2310.8000000,2316.8000000,447650
20200903,000000,2321.0000000,2375.0000000,2230.0000000,2268.0000000,524341
20200904,000000,2255.6000000,2310.0000000,2160.0000000,2200.0000000,686244
20200907,000000,2220.0000000,2223.6000000,2169.8000000,2182.2000000,287688
20200908,000000,2200.0000000,2205.0000000,2069.2000000,2110.2000000,574521
20200909,000000,2106.6000000,2170.0000000,2072.4000000,2143.0000000,371264
20200910,000000,2169.0000000,2181.2000000,2117.0000000,2138.2000000,280920
20200911,000000,2145.2000000,2155.6000000,2120.0000000,2129.0000000,252689
20200914,000000,2141.8000000,2247.0000000,2136.2000000,2210.0000000,460891
20200915,000000,2237.4000000,2288.0000000,2211.6000000,2228.8000000,414885
20200916,000000,2235.0000000,2259.8000000,2166.0000000,2177.0000000,490152
20200917,000000,2160.0000000,2222.0000000,2134.0000000,2222.0000000,657544
20200918,000000,2192.0000000,2224.0000000,2172.4000000,2220.0000000,347154
20200921,000000,2222.0000000,2238.0000000,2170.2000000,2202.4000000,413107
20200922,000000,2202.2000000,2357.6000000,2188.0000000,2307.2000000,875397
20200923,000000,2350.2000000,2439.8000000,2206.2000000,2325.2000000,1844103
20200924,000000,2296.8000000,2296.8000000,2179.0000000,2216.6000000,2175024
20200925,000000,2227.0000000,2229.4000000,2163.0000000,2200.0000000,692691
20200928,000000,2183.0000000,2240.0000000,2170.0000000,2210.0000000,797180
20200929,000000,2218.0000000,2219.4000000,2135.0000000,2156.2000000,1012171
20200930,000000,2143.0000000,2147.4000000,2115.0000000,2135.0000000,833900
20201001,000000,2148.8000000,2174.8000000,2127.0000000,2156.4000000,409838
20201002,000000,2148.8000000,2219.0000000,2117.2000000,2201.4000000,602789
20201005,000000,2220.0000000,2224.8000000,2178.6000000,2198.2000000,404522
20201006,000000,2200.0000000,2202.0000000,2152.0000000,2156.4000000,369914
20201007,000000,2170.2000000,2175.0000000,2132.4000000,2152.6000000,249829
20201008,000000,2160.0000000,2196.4000000,2157.0000000,2170.8000000,423617
20201009,000000,2183.2000000,2185.4000000,2150.4000000,2167.8000000,276065
20201012,000000,2171.2000000,2250.0000000,2170.0000000,2239.0000000,777269
20201013,000000,2244.8000000,2283.4000000,2235.2000000,2268.0000000,757343
20201014,000000,2270.4000000,2292.0000000,2241.6000000,2266.8000000,364850
20201015,000000,2269.0000000,2270.0000000,2242.6000000,2256.8000000,300010
20201016,000000,2256.0000000,2318.4000000,2250.0000000,2289.0000000,523357
20201019,000000,2300.0000000,2324.8000000,2275.4000000,2295.6000000,386100
20201020,000000,2297.8000000,2305.0000000,2261.0000000,2269.0000000,282211
20201021,000000,2270.0000000,2273.6000000,2241.8000000,2257.4000000,274580
20201022,000000,2252.0000000,2274.2000000,2228.4000000,2249.8000000,348922
20201023,000000,2232.4000000,2250.6000000,2224.4000000,2242.0000000,375004
20201026,000000,2230.0000000,2320.0000000,2150.0000000,2163.0000000,867358
20201027,000000,2175.0000000,2180.0000000,2102.0000000,2151.0000000,1295753
20201028,000000,2141.0000000,2159.0000000,2071.2000000,2109.0000000,745476
20201029,000000,2114.8000000,2248.2000000,2099.8000000,2127.6000000,370007
20201030,000000,2117.8000000,2117.8000000,2080.0000000,2090.0000000,321898
20201102,000000,2096.0000000,2137.4000000,2071.0000000,2119.8000000,431847
20201103,000000,2134.8000000,2148.8000000,2100.0000000,2119.8000000,478646
20201105,000000,2125.6000000,2200.0000000,2125.6000000,2196.2000000,905713
20201106,000000,2185.0000000,2253.6000000,2159.0000000,2242.0000000,588792
20201109,000000,2260.4000000,2291.0000000,2236.0000000,2264.0000000,867678
20201110,000000,2268.2000000,2297.4000000,2202.0000000,2250.0000000,920956
20201111,000000,2310.0000000,2333.8000000,2210.4000000,2234.0000000,1896374
20201112,000000,2240.0000000,2269.0000000,2205.8000000,2216.6000000,866174
20201113,000000,2226.4000000,2244.4000000,2210.0000000,2227.0000000,569851
20201116,000000,2229.8000000,2250.0000000,2178.6000000,2206.8000000,1078412
20201117,000000,2198.0000000,2216.0000000,2161.0000000,2177.4000000,734321
20201118,000000,2175.0000000,2193.0000000,2151.2000000,2166.0000000,745204
20201119,000000,2174.2000000,2197.0000000,2132.6000000,2140.8000000,848127
20201120,000000,2147.0000000,2164.4000000,2130.2000000,2155.0000000,692635
20201123,000000,2167.0000000,2209.2000000,2160.0000000,2180.0000000,1118823
20201124,000000,2190.0000000,2206.0000000,2152.0000000,2175.6000000,1149268
20201125,000000,2179.4000000,2208.6000000,2170.0000000,2197.0000000,1464804
20201126,000000,2200.0000000,2259.8000000,2191.0000000,2256.8000000,1389778
20201127,000000,2260.6000000,2290.6000000,2248.2000000,2280.8000000,1327901
20201130,000000,2290.0000000,2295.0000000,2169.8000000,2193.0000000,8514985
20201201,000000,2206.6000000,2207.0000000,2157.8000000,2174.0000000,1229986
20201202,000000,2171.2000000,2185.0000000,2152.4000000,2163.0000000,587842
20201203,000000,2161.0000000,2174.0000000,2142.2000000,2160.0000000,668654
20201204,000000,2171.4000000,2171.8000000,2130.0000000,2141.8000000,689972
20201207,000000,2147.0000000,2150.0000000,2105.0000000,2114.8000000,711631
20201208,000000,2110.0000000,2147.0000000,2095.6000000,2126.6000000,953310
20201209,000000,2122.0000000,2137.0000000,2105.0000000,2110.4000000,674157
20201210,000000,2114.2000000,2122.0000000,2085.4000000,2095.0000000,665762
20201211,000000,2110.0000000,2133.2000000,2090.4000000,2111.0000000,680533
20201214,000000,2114.4000000,2121.8000000,2080.0000000,2085.2000000,535145
20201215,000000,2094.8000000,2095.0000000,2073.2000000,2086.0000000,467253
20201216,000000,2082.0000000,2093.0000000,1978.4000000,2063.8000000,550856
20201217,000000,2074.6000000,2077.8000000,2021.0000000,2049.6000000,731165
20201218,000000,2049.0000000,2049.8000000,1980.0000000,2007.4000000,874774
20201221,000000,2011.2000000,2029.8000000,1952.2000000,2000.8000000,927546
20201222,000000,2009.6000000,2018.6000000,1965.8000000,1979.0000000,540760
20201223,000000,1978.2000000,1995.0000000,1959.2000000,1973.2000000,451357
20201224,000000,1973.0000000,1994.8000000,1960.0000000,1982.6000000,474717
20201225,000000,1985.2000000,2047.6000000,1974.2000000,2025.0000000,624058
20201228,000000,2034.8000000,2049.6000000,1990.2000000,1999.0000000,618072
20201229,000000,2007.8000000,2010.0000000,1966.0000000,1975.8000000,652519
20201230,000000,1977.4000000,1993.8000000,1970.0000000,1980.8000000,476873
